OBJECTID,STATE,COUNTY,TRACT,blkgrp_med,blkgrp_m_1,avg_hh_s_1,commuters_,commuter_1,pct_renter,pct_detatc,hh_type1_s,hh_type1_w,hh_type1_ht,hh_type1_h,hh_type1_t
194515,51,710,3800,86599.23808,39037.28508,1.9,1.26524,1.04803,0.45062,47.57785,4,2,49.4444,30.8633,18.5811
194516,51,710,3200,45322.32853,23768.81758,2.2,1.57514,1.11916,0.45094,70.57692,4,2,47.39086,28.48352,18.90733
197546,51,710,6603,61314.65885,49247.22041,2.85,1.39742,1.27983,0.22545,97.89842,4,2,52.27269,29.74011,22.53258
197547,51,710,4700,45012.37401,11933.51311,1.98,1.14807,0.53197,0.40187,59.81308,4,2,45.7781,26.61776,19.16034
197548,51,710,2400,127125.7965,26720.72328,4.28,1.4568,1.79783,0.15892,100,4,2,58.59942,37.02553,21.57389
197559,51,710,400,73498.16538,26591.74301,1.61,0.95294,0.85871,0.6875,21.63892,4,2,42.53213,24.43164,18.10049
197560,51,710,5602,61689.22694,39559.82327,2.69,1.45176,1.26306,0.26572,91.10708,4,2,50.469,28.91274,21.55626
197773,51,710,3300,40779.42175,30896.73994,3.46,1.05261,1.01293,0.3881,82.87402,4,2,48.81747,28.50903,20.30845
197774,51,710,6601,80163.48428,45430.1366,3.98,1.37297,1.39785,0.50135,58.46561,4,2,50.23834,29.35463,20.88371
197775,51,710,6606,55503.11591,29172.43886,2.75,1.21351,1.1569,0.36726,66.81416,4,2,50.42965,29.77438,20.65527
197776,51,710,6200,50584.7438,33315.68831,2.41,1.60689,1.6573,0.38889,82.38342,4,2,48.19508,27.6986,20.49648
197796,51,710,5500,54615.09606,33883.67541,3.59,1.07389,1.74812,0.23371,91.89765,4,2,48.85856,26.96575,21.89281
197814,51,710,1700,101109.235,31351.57116,1.6,0.86132,0.6758,0.83614,18.82184,4,2,41.12997,24.08314,17.04684
197995,51,710,201,57671.60213,26382.48426,2.56,0.98793,1.00099,0.80902,17.48705,4,2,40.78053,23.89689,16.88364
197996,51,710,5500,46318.62423,28736.47291,3.7,1.50123,2.44376,0.73112,35.04532,4,2,41.69633,24.42258,17.27375
197997,51,710,2300,96735.00213,18589.59407,2.16,1.27937,1.00498,0.71171,33.03303,4,2,51.14621,32.94076,18.20545
197998,51,710,4002,89187.55991,36498.35808,1.89,1.48692,1.29215,0.6555,13.40483,4,2,42.96909,28.01206,14.95703
197999,51,710,202,42613.26878,24664.60876,2.01,1.27178,1.22277,0.57415,67.17557,4,2,45.43532,25.67281,19.76251
198000,51,710,1300,59891.21418,24318.10151,2.43,1.18801,1.22373,0.70574,33.57216,4,2,46.60203,28.79865,17.80339
198001,51,710,2000,53247.20572,73472.00067,4.42,1.16722,0.95458,0.12128,95.7115,4,2,50.94592,29.04803,21.8979
198002,51,710,4700,0,0,0,0,0,0,0,0,0,0,0,0
200738,51,710,5000,83709.62209,25564.79838,2.46,1.94515,0.85503,0.30224,73.92739,4,2,52.34116,31.5943,20.74686
200739,51,710,1600,62701.18234,23846.91009,2.89,2.93401,0.8899,0.2852,85.76159,4,2,47.46402,26.75198,20.71204
200740,51,710,5800,41124.64338,23223.51412,2.08,1.04355,0.83126,0.73736,16.45193,4,2,46.23454,28.97071,17.26383
200945,51,710,600,68306.49518,29725.05872,3.44,1.34025,1.4165,0.64882,40.68522,4,2,43.92696,25.17055,18.7564
200947,51,710,1500,74939.87619,33981.67676,2.27,1.51333,1.27891,0.69798,42.77457,4,2,48.55968,29.54551,19.01417
200948,51,710,2900,48407.14171,20681.62525,2.91,2.00771,1.08894,0.82051,24.39024,4,2,41.43847,23.94886,17.48961
200949,51,710,1400,64648.14123,15070.50977,1.59,1.15303,0.56022,0.96142,4.6176,4,2,38.60643,23.25623,15.3502
200950,51,710,5100,37459.34317,15404,3.13,1.04402,0.91396,1,1.87266,4,2,30.28025,13.66097,16.61928
200951,51,710,6400,76912.0147,30333.40049,3.2,1.18806,0.85126,0.18442,97.2093,4,2,51.9688,30.00414,21.96466
200952,51,710,980200,0,0,0,0,0,0,0,0,0,0,0,0
198024,51,710,2900,97634.06226,41713.49548,3.48,3.31933,1.80034,0.8692,29.62963,4,2,38.51789,21.58036,16.93753
198025,51,710,2400,89497.44833,18811.57575,2.71,1.37667,1.69893,0.36779,81.2933,4,2,52.04019,31.76259,20.27761
198026,51,710,400,81779.95404,29588.10618,1.35,1.07394,0.96774,0.80769,17.31959,4,2,45.17312,28.04586,17.12726
198027,51,710,2500,30923.4232,14754.0851,2.91,0.88414,0.69271,0.87143,41.86667,4,2,40.318,22.31639,18.00161
198028,51,710,5800,74689.83721,42178.12841,2.94,2.03132,1.61809,0.37829,77.39362,4,2,47.46343,27.01763,20.4458
