Department  ,Division,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
City Council,City Council,Member Of Council,Elected Official,7/1/18,7/1/18,Exempt,"25,000.00"
City Council,City Council,President Of Council,Elected Official,7/1/16,7/1/16,Exempt,"27,000.00"
City Council,City Council,Member Of Council,Elected Official,6/21/99,8/31/16,Exempt,"25,000.00"
City Council,City Council,Member Of Council,Elected Official,1/14/21,1/14/21,Exempt,"25,000.00"
City Council,City Council,Member Of Council,Elected Official,7/24/98,7/1/10,Exempt,"25,000.00"
City Council,City Council,Member Of Council,Elected Official,1/1/23,1/1/23,Exempt,"25,000.00"
City Council,City Council,Member Of Council,Elected Official,7/1/16,7/1/16,Exempt,"25,000.00"
City Council,City Council,Member Of Council,Elected Official,7/1/14,7/1/14,Exempt,"25,000.08"
City Manager,Executive City Manager,City Manager,Appointed by City Council,7/26/21,6/28/23,Exempt,"305,459.55"
City Manager,City Manager-Citizen Services,Citizen Service Advisor II,Permanent Full-time,1/18/22,1/18/22,Nonexempt,"43,584.90"
City Manager,City Manager-Citizen Services,Citizen Service Advisor III,Permanent Full-time,10/4/10,5/18/15,Nonexempt,"42,119.45"
City Manager,City Manager-Citizen Services,Citizen Service Advisor Traine,Permanent Full-time,10/21/23,10/21/23,Nonexempt,"40,687.92"
City Manager,Executive City Manager,Deputy City Manager,Permanent Full-time,11/6/17,10/23/23,Exempt,"244,518.75"
City Manager,Executive City Manager,Special Assistant,Permanent Full-time,1/3/23,12/31/22,Exempt,"92,373.75"
City Manager,City Manager-Citizen Services,Citizen Service Advisor Traine,Permanent Full-time,9/21/24,9/21/24,Nonexempt,"40,688.00"
City Manager,City Manager-Citizen Services,Citizen Service Advisor Traine,Special Project w/ Retirement,12/2/23,8/24/24,Nonexempt,19.56
City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,1/22/14,1/22/14,Nonexempt,25.27
City Manager,City Manager - Norfolk Arts,Bureau Manager,Permanent Full-time,1/3/06,1/3/06,Exempt,"112,107.18"
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer I,Special Project w/ Retirement,4/20/24,4/20/24,Nonexempt,20.89
City Manager,City Manager-NCJS Pretrial,Program Supervisor,Special Project w/ Retirement,2/12/01,2/18/15,Exempt,"72,940.66"
City Manager,City Manager - Norfolk Arts,Arts Manager,Permanent Full-time,3/5/12,3/5/12,Exempt,"81,247.42"
City Manager,Executive City Manager,Executive Administrator (CM),Permanent Full-time,1/25/10,5/4/24,Exempt,"59,393.48"
City Manager,City Manager-NCJS Adlt Com Sup,Programs Manager,Special Project w/ Retirement,11/21/94,7/1/07,Exempt,"97,476.43"
City Manager,City Manager-Citizen Services,Quality Assurance Specialist,Permanent Full-time,8/20/18,11/8/21,Exempt,"52,113.47"
City Manager,City Manager-Citizen Services,Program Supervisor,Permanent Full-time,3/12/07,10/1/13,Exempt,"64,326.39"
City Manager,Executive City Manager,"Executive Administrator,Sr(CM)",Permanent Full-time,1/9/06,4/11/22,Exempt,"91,287.00"
