OBJECTID,STATE,COUNTY,TRACT,blkgrp_med,blkgrp_m_1,avg_hh_s_1,commuters_,commuter_1,pct_renter,pct_detatc,hh_type1_s,hh_type1_w,hh_type1_h,hh_type1_ht,hh_type1_t
197803,51,740,212802,68743.31061,45526.66995,1.67,1.05856,1.05882,0.09697,96.91715,4,2,54.29236,30.80689,23.48547
197804,51,740,213001,69982.35831,53730.73873,4.23,1.21817,1.15535,0.05952,88.43537,4,2,53.51451,30.60973,22.90478
197805,51,740,213101,68377.55847,37448.10952,2.43,1.7569,1.07256,0.99127,3.8806,4,2,39.4639,22.87866,16.58523
197806,51,740,211400,73515.53494,32353.55984,3.2,1.48206,1.01684,0.9685,29.71429,4,2,40.30235,22.97736,17.32498
197807,51,740,213103,66807.98189,40639.69696,3.35,1.11297,1.14987,0.21973,100,4,2,53.83118,30.63252,23.19866
197808,51,740,211100,25752.56496,7644.42191,1.9,0.5364,0.28002,0.78841,34.25,4,2,45.71643,28.21332,17.50311
197809,51,740,211400,42286.98346,18610.14071,1.45,1.32745,0.91077,0.42147,78.45805,4,2,45.98737,26.21063,19.77674
197810,51,740,213103,56443.40071,34334.85993,2.11,1.10163,1.13816,0.55008,26.21871,4,2,46.34298,26.33774,20.00524
197811,51,740,212801,48879.6793,27107.95235,1.88,1.5724,1.2711,0.92669,22.72727,4,2,40.53807,23.3662,17.17188
197812,51,740,213101,62810.57278,34399.25702,2.42,1.71183,1.04505,0.53629,43.99563,4,2,49.11477,29.21687,19.8979
197813,51,740,212300,64365.41641,32835.26816,1.73,1.62301,1.10302,0.48111,63.75839,4,2,47.36371,28.18496,19.17875
200728,51,740,213103,67440.61646,41024.53238,2.29,1.01831,1.05207,0.09239,100,4,2,52.20239,29.30498,22.89741
200729,51,740,213002,99251.17253,43330.04392,1,1.61248,1.40631,0.0216,100,4,2,53.94771,30.65948,23.28823
200730,51,740,212802,62436.3158,41349.73304,1.74,1.17925,1.17953,0.36005,67.25543,4,2,49.24801,28.07841,21.1696
200731,51,740,211800,30532.58747,9465.10212,2.91,0.83201,0.68192,0.92282,12.61981,4,2,27.84285,11.56235,16.2805
200732,51,740,212000,36201.45491,16824.11706,2.34,0.82908,0.63898,0.58039,64.24419,4,2,47.26498,28.50728,18.75769
200733,51,740,210300,50142.51247,31353.70893,2.18,1.33346,0.81957,0.34023,65.84362,4,2,48.67124,27.94273,20.72851
200734,51,740,212400,62264.45141,22873.78526,2.26,1.13727,1.01364,0.25979,70.95588,4,2,51.39674,29.94018,21.45657
200735,51,740,212100,32509.86861,10246.22467,1.97,0.91383,0.39848,0.64302,29.26829,4,2,34.42235,17.25714,17.16521
200736,51,740,213104,94212.10822,36264.95306,2.91,1.54899,1.12179,0.04007,89.57265,4,2,56.95623,32.92815,24.02808
200737,51,740,211600,53477.92686,36412.68174,2.25,0.89298,0.8702,0.4539,61.99377,4,2,47.26597,26.93497,20.33099
200944,51,740,212600,59296.18986,52311.37133,3,1.06752,1.22831,0.3913,43.47826,4,2,63.00283,41.57687,21.42596
204045,51,740,211800,30738.32887,9528.88195,2.96,0.74396,0.60975,0.96911,22.82958,4,2,34.14703,17.37462,16.77241
204046,51,740,212000,47858.68449,22241.65057,3.13,0.96856,0.74648,0.40811,84.70363,4,2,45.75841,25.93071,19.82771
204047,51,740,210300,48139.40277,30101.18058,1.82,1.14885,0.70611,0.26563,79.29688,4,2,47.98066,27.1379,20.84276
204048,51,740,212100,103050.9725,32478.85834,2.22,1.54033,0.67167,0.75258,18.04511,4,2,43.70829,25.89795,17.81034
204049,51,740,212701,49291.39007,22144.53401,4.07,0.94951,0.75999,0.22604,18.84817,4,2,50.52342,30.20879,20.31463
204050,51,740,212400,67152.82865,24669.60436,3.25,1.06334,0.94775,0.62556,47.53363,4,2,48.53443,28.83579,19.69864
204051,51,740,213103,70912.76192,43136.65933,3.08,1.21996,1.26041,0.50334,46.12452,4,2,47.00938,26.64824,20.36114
204052,51,740,212701,37319.59691,16766.11437,2.96,1.01478,0.81223,0.14409,100,4,2,49.30774,27.86255,21.44519
204053,51,740,211600,63166.35159,43009.45067,3.21,1.13147,1.1026,0.12459,96.40719,4,2,49.12993,27.76573,21.3642
204054,51,740,213104,67701.01823,26060.0712,3.58,1.53903,1.11457,0.29682,69.33187,4,2,50.71512,28.97891,21.73622
204055,51,740,211600,85836.49011,58445.36203,2.05,1.26744,1.2351,0.20249,84.22535,4,2,49.6074,28.87703,20.73037
204303,51,740,211700,39447.11599,29703.19973,2.02,0.84523,0.96668,0.2533,80.9417,4,2,50.38502,28.87064,21.51438
204304,51,740,210500,49426.93448,19362.38052,2.59,1.40741,0.7961,0.77686,34.13333,4,2,46.33143,28.45112,17.88031
204305,51,740,212900,50028.61856,37799.612,1.68,1.16101,1.09072,0.13866,95.24752,4,2,50.69694,28.92614,21.7708
204306,51,740,210900,68556.54384,26168.39034,1.96,0.67634,0.76829,0.68978,5.64516,4,2,44.59136,28.46202,16.12934
204307,51,740,212701,59568.5035,26761.60583,2.27,0.86082,0.689,0.044,100,4,2,54.12308,31.01223,23.11086
204308,51,740,212600,61513.22033,54267.2458,3.31,0.64751,0.74505,0.22609,94.78261,4,2,48.59179,26.65284,21.93894
204309,51,740,210900,95942.37189,36621.70373,1.62,0.85752,0.9741,0.59887,23.86457,4,2,46.56021,30.0036,16.55661
205433,51,740,212702,34419.43465,28363.59876,3.03,0.77303,0.91723,0.26527,87.19512,4,2,48.71926,27.33537,21.38389
205604,51,740,213103,69064.70746,42012.47669,2.24,1.25827,1.29999,0.28518,39.21902,4,2,50.57915,29.5784,21.00075
205605,51,740,210600,57306.43031,33805.33487,2.2,1.28352,0.72209,0.3109,86.63697,4,2,47.9332,27.94895,19.98426
205606,51,740,213001,59832.59586,45938,1.57,0.55798,0.5292,1,0,4,2,41.87061,22.76829,19.10232
205607,51,740,211700,49908.44465,37580.45328,2.73,0.75822,0.86717,0.75726,31.41026,4,2,42.74877,24.41898,18.32979
205608,51,740,213200,58116.14345,39914.68365,2.11,1.78849,1.20058,0.71078,53.55588,4,2,42.51743,24.55252,17.9649
205609,51,740,212300,39217.66926,20006.4376,2.51,1.26765,0.86152,0.63596,38.17427,4,2,41.95031,22.80717,19.14314
205610,51,740,213002,73758.50088,32200.71865,2.18,1.15455,1.00693,0.24305,75.8427,4,2,50.49187,28.74669,21.74518
205611,51,740,212300,61848.44056,31551.26222,3.02,1.28515,0.8734,0.42256,85.35433,4,2,45.51208,25.52463,19.98746
206396,51,740,212900,48507.37958,36650.22502,3.48,1.02277,0.96085,0.23904,89.64143,4,2,49.35142,27.65003,21.70139
206397,51,740,211800,63548.37902,19699.9975,3.41,1.64439,1.34775,0.44037,72.97297,4,2,47.62253,27.87321,19.74932
206398,51,740,211100,59595.2421,17690.3223,1.86,1.2357,0.64509,0.71028,29.25373,4,2,39.58216,22.35179,17.23037
206399,51,740,212500,47215.69641,40067.06192,3.5,1.0783,1.41497,0.19342,81.57576,4,2,50.21369,28.2503,21.96339
206400,51,740,212900,48130.54928,36365.5072,3.1,1.27387,1.19676,0.09091,96.39175,4,2,51.72784,28.63744,23.0904
206532,51,740,211500,81738.56325,36959.2603,2.89,1.23685,0.94863,0.64417,81.6568,4,2,46.50887,26.66177,19.8471
206533,51,740,210400,83272.63329,25526.73437,1.86,1.09934,0.94098,0.44198,61.66884,4,2,47.68904,27.71458,19.97447
206534,51,740,210300,76108.76904,47590.1999,1,1.40486,0.86346,0.09621,93.33333,4,2,52.37354,30.38869,21.98485
206535,51,740,211900,104484.4907,69172.21568,3.59,0.91,1.71998,0.44411,91.54519,4,2,49.99438,28.88544,21.10894
206536,51,740,213200,40279.72704,27664.4744,1.98,0.86873,0.58316,0.38356,46.97674,4,2,47.80941,28.41981,19.3896
206537,51,740,211700,44046.26699,33166.30464,2.91,1.05552,1.20719,0.3719,97.03704,4,2,46.76623,25.90809,20.85813
206538,51,740,212600,52280.84594,46122.40266,2.46,1.2173,1.40066,0.2351,84.01163,4,2,49.12665,27.82791,21.29874
207158,51,740,212801,56387.27941,31271.55712,2.14,1.15866,0.93664,0.67166,40.46322,4,2,44.57155,25.41966,19.15189
207159,51,740,210200,58688.55592,27292.22268,2.46,1.55156,1.06059,0.55849,54.70085,4,2,46.16171,25.96872,20.193
207160,51,740,213001,69723.79808,53532.22253,3.05,1.03945,0.98585,0.13734,64.02754,4,2,52.5865,29.9578,22.6287
207161,51,740,210600,52733.86075,31107.95442,2,1.33631,0.75179,0.2508,83.7535,4,2,47.83918,27.38246,20.45672
207162,51,740,212801,47181.18475,26165.99221,1.27,0.97025,0.78433,0.47766,49.7561,4,2,45.10168,25.12534,19.97634
207163,51,740,213101,58791.29916,32198.03484,3.03,1.83678,1.12133,0.72565,41.40625,4,2,47.78449,28.35539,19.4291
207164,51,740,211600,65862.61478,44845.31416,3.1,0.93264,0.90885,0.59202,63.71134,4,2,44.63734,25.17348,19.46386
