Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,MOE,TotalPopulation,LocationID,CategoryID,MeasureID,DataValueTypeID,Short_Question_Text,Geolocation
2017-2021,VA,Virginia,Portsmouth city,51740,51740212600,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,11.8,12.4,1724,51740212600,SDOH,UNEMP,Percent,Unemployment,POINT (-76.3460368 36.8079842)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210600,5-year ACS,SDOH,Crowding among housing units,%,Percentage,0,2.7,1860,51740210600,SDOH,CROWD,Percent,Crowding,POINT (-76.3236995 36.8416943)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210900,5-year ACS,SDOH,Single-parent households,%,Percentage,2.8,2,3407,51740210900,SDOH,SNGPNT,Percent,Single-parent households,POINT (-76.3017578 36.8379775)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212702,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,7.1,3.8,2965,51740212702,SDOH,NOHSDP,Percent,No high school diploma,POINT (-76.3552362 36.7939672)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212701,5-year ACS,SDOH,Crowding among housing units,%,Percentage,0,1.4,5898,51740212701,SDOH,CROWD,Percent,Crowding,POINT (-76.369929 36.7979343)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212900,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,13.5,5.2,5069,51740212900,SDOH,POV150,Percent,Poverty,POINT (-76.3740821 36.8260773)
2017-2021,VA,Virginia,Portsmouth city,51740,51740980100,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,0,35.4,680,51740980100,SDOH,NOHSDP,Percent,No high school diploma,POINT (-76.2972774 36.8112929)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213104,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,5.7,3.3,4652,51740213104,SDOH,POV150,Percent,Poverty,POINT (-76.4010834 36.8877373)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211600,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,35.4,9.5,3918,51740211600,SDOH,HCOST,Percent,Housing cost burden,POINT (-76.3544639 36.826073)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212300,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,66.2,11.2,4793,51740212300,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-76.3139971 36.8033515)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212802,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,12,5.5,2147,51740212802,SDOH,UNEMP,Percent,Unemployment,POINT (-76.3914981 36.8115839)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211500,5-year ACS,SDOH,Crowding among housing units,%,Percentage,8.6,9.1,2088,51740211500,SDOH,CROWD,Percent,Crowding,POINT (-76.343267 36.8277391)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211600,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,2,1.8,3918,51740211600,SDOH,UNEMP,Percent,Unemployment,POINT (-76.3544639 36.826073)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213101,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,11.3,5,5092,51740213101,SDOH,NOHSDP,Percent,No high school diploma,POINT (-76.4034422 36.8684282)
2017-2021,VA,Virginia,Portsmouth city,51740,51740211800,5-year ACS,SDOH,Single-parent households,%,Percentage,19,13.4,3655,51740211800,SDOH,SNGPNT,Percent,Single-parent households,POINT (-76.3208531 36.8253925)
2017-2021,VA,Virginia,Portsmouth city,51740,51740213001,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,7.8,3.9,5883,51740213001,SDOH,POV150,Percent,Poverty,POINT (-76.3692495 36.8988798)
2017-2021,VA,Virginia,Portsmouth city,51740,51740210400,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,30.2,12.9,1430,51740210400,SDOH,HCOST,Percent,Housing cost burden,POINT (-76.3564991 36.840843)
2017-2021,VA,Virginia,Portsmouth city,51740,51740212500,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,9.8,3,2582,51740212500,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-76.3394521 36.7995549)
